Order_id,total_price,created_at,customer_id,customer_name,email,id,product_id,product_sku,product_name,product_price,date,CAD_rate,order_price_CAD,product_price_CAD
4280852170163518,55.98,2020-03-10 11:59:46+00:00,23955,Daniel Smith,daniel.smith@gmail.com,317808,477365777,GOGPR-07,Glueberry OG Pre-Rolls,5.99,2020-03-10,1.3677787533,76.568254609734,8.192994732267001
6431399815998774,315.97,2020-03-12 07:16:07+00:00,23955,Daniel Smith,daniel.smith@gmail.com,997208,278266679,GPSTASH-01,Grandpa's Stash Dried Flower,49.99,2020-03-12,1.38113879,436.3984234763001,69.0431281121
5307192536865304,86.98,2020-03-12 01:40:57+00:00,47178,William Doe,william.doe@gmail.com,997208,278266679,GPSTASH-01,Grandpa's Stash Dried Flower,49.99,2020-03-12,1.38113879,120.13145195420002,69.0431281121
5791957346866373,36.99,2020-03-24 09:52:40+00:00,47178,William Doe,william.doe@gmail.com,759658,573794972,SAGENSOUR-01,Sage N Sour Dried Flower,36.99,2020-03-24,1.4494143687,53.61383749821301,53.61383749821301
5235927587417736,36.99,2020-03-24 07:12:33+00:00,94720,Emile Tumson,emile.tumson@gmail.com,759658,573794972,SAGENSOUR-01,Sage N Sour Dried Flower,36.99,2020-03-24,1.4494143687,53.61383749821301,53.61383749821301
2079640804901496,55.98,2020-02-19 19:33:57+00:00,23955,Daniel Smith,daniel.smith@gmail.com,317808,477365777,GOGPR-07,Glueberry OG Pre-Rolls,5.99,2020-02-19,1.3223148148,74.02318333250399,7.920665740652
2249838395290890,309.98,2020-03-13 12:15:51+00:00,47178,William Doe,william.doe@gmail.com,604665,510650809,PAX-3,Pax 3 Vaporizer,259.99,2020-03-13,1.3858969741,429.60034403151803,360.319354296259
8662976573169716,5.99,2020-02-05 10:22:49+00:00,94720,Emile Tumson,emile.tumson@gmail.com,317808,477365777,GOGPR-07,Glueberry OG Pre-Rolls,5.99,2020-02-05,1.3284949651,7.957684840949,7.957684840949
9786845594710809,79.39,2020-03-18 13:43:24+00:00,59933,Ethan Jones,ethan.jones@gmail.com,771854,694165761,HYBTINC-03,Hybrid Blend THC Tincture,49.99,2020-03-18,1.4403694897000001,114.35093378728301,72.00407079010301
2212383088430312,142.96,2020-01-22 21:26:52+00:00,59933,Ethan Jones,ethan.jones@gmail.com,997208,278266679,GPSTASH-01,Grandpa's Stash Dried Flower,49.99,2020-01-22,1.3045634921,186.500396830616,65.21512897007901
